Name,Diameter,Slope,Q_cap,Q 5,Q 25,V 5,V 25,depth 5,depth 25
P-1,36,0.007051506,60.41,26.73999999999999,43.980000000000004,7.83,8.79,1.46,2.0
P-1-1,21,0.010988145,17.91,9.9,16.28,7.23,7.89,0.97,1.4
P-1-1-1,6,0.126580604,2.15,0.59,0.97,10.02,10.41,0.17,0.24
P-1-1-2,6,0.158906771,2.41,0.58,0.95,10.71,11.42,0.16,0.22
P-1-2,21,0.01,17.09,8.73,14.36,6.81,7.49,0.92,1.3
P-1-2-1,6,0.138708354,2.25,0.79,1.29,10.77,11.93,0.2,0.27
P-1-2-2,6,0.138663651,2.25,0.83,1.36,10.61,12.02,0.21,0.28
P-1-2-3,6,0.140307287,2.27,0.81,1.34,11.04,11.84,0.2,0.28
P-1-2-4,8,0.138574229,4.85,0.83,1.36,10.76,11.86,0.18,0.24
P-1-3,18,0.010014514,11.34,5.470000000000001,9.01,6.09,6.75,0.76,1.06
P-1-3-1,8,0.02,1.84,0.81,1.34,5.25,5.72,0.3,0.42
P-1-3-2,8,0.02,1.84,0.8,1.32,5.18,5.63,0.3,0.42
P-1-3-3,8,0.02,1.84,0.81,1.34,5.25,5.72,0.3,0.42
P-1-3-4,8,0.02,1.84,0.83,1.36,5.15,5.65,0.31,0.43
P-1-3-5,8,0.02,1.84,0.81,1.34,5.25,5.72,0.3,0.42
P-1-3-6,8,0.019156256,1.8,0.9,1.48,5.16,5.7,0.33,0.46
P-1-4,12,0.009906264,3.82,0.51,0.83,3.74,4.0,0.23,0.31
P-10,15,0.02,9.85,4.720000000000001,7.76,7.61,8.4,0.63,0.88
P-11,12,0.02,5.43,2.81,4.63,6.65,7.43,0.53,0.74
P-11-1,6,0.04488498,1.28,0.58,0.95,6.58,7.16,0.23,0.32
P-12,15,0.060101166,17.08,3.09,5.09,10.17,11.41,0.37,0.49
P-2,30,0.006987868,36.98,16.840000000000003,27.699999999999996,6.93,7.79,1.24,1.7
P-2-1,6,0.128279591,2.17,0.49,0.81,9.89,10.35,0.15,0.21
P-3,30,0.007004002,37.02,16.349999999999998,26.889999999999997,6.94,7.77,1.21,1.66
P-4,30,0.006989429,36.99,16.349999999999998,26.889999999999997,6.94,7.77,1.21,1.66
P-4-1,15,0.061857711,17.33,1.21,1.99,7.8,9.22,0.23,0.29
P-4-2,8,0.078653593,3.66,0.95,1.57,8.78,9.75,0.23,0.31
P-4-3,8,0.015629559,1.63,0.56,0.92,4.62,4.89,0.25,0.35
P-5,30,0.006998953,37.01,13.629999999999999,22.409999999999997,6.63,7.47,1.09,1.47
P-5-1,6,0.068186507,1.58,0.95,1.57,8.4,8.92,0.28,0.42
P-5-2,6,0.067223975,1.57,0.79,1.29,8.05,8.79,0.25,0.35
P-6,24,0.006997863,20.41,7.300000000000001,12.0,5.65,6.42,0.86,1.15
P-6-1,6,0.057561481,1.45,0.79,1.29,7.66,8.28,0.26,0.37
P-6-2,6,0.048498852,1.33,0.79,1.29,7.3,7.66,0.27,0.4
P-6-3,8,0.038386706,2.55,0.8,1.32,6.6,7.28,0.25,0.34
P-7,15,0.01,6.97,3.85,6.319999999999999,5.54,6.06,0.69,0.99
P-7-1,8,0.019196454,1.81,0.79,1.29,5.12,5.5,0.3,0.42
P-7-2,8,0.017422516,1.72,0.8,1.32,4.97,5.34,0.31,0.44
P-7-3,6,0.05809187,1.46,0.87,1.43,8.04,8.3,0.27,0.41
P-8,15,0.007,5.83,1.39,2.28,3.84,4.28,0.42,0.56
P-8-1,6,0.046896028,1.31,0.7,1.15,7.13,7.6,0.25,0.36
P-9,12,0.006875252,3.19,0.69,1.13,3.33,3.73,0.31,0.41
